X,Y
"Главный тормозной цилиндр тандемного типа с бачком, две секции для разных контуров.","главный тормозной цилиндр; тандемный тип; бачок; секция; контур;"
"Пипетка дозатор переменного объема для точного отмеривания жидкостей в лаборатории.","пипетка дозатор переменного объема;"
"Кабелеукладчик с ковшом и отвалом предназначен для рытья траншей и укладки кабелей.","кабелеукладчик; ковш; отвал; траншея; кабель;"
"Анод рентгеновской трубки вращающийся для увеличения тепловой мощности включает вольфрамовую мишень и ротор.","анод рентгеновской трубки вращающийся; вольфрамовая мишень; ротор;"
"Установка для ректификации спирта с использованием колонны с клапанными тарелками.","колонна с клапанными тарелками;"
"Крыльчатка анемометра вращается под действием потока воздуха, и частота вращения пропорциональна скорости потока.","крыльчатка; анемометр; воздух; поток; частота вращения; скорость;"
"Прибор для определения адгезии покрытий методом решетчатых надрезов включает режущий инструмент для нанесения сетки и клейкую ленту.","прибор для определения адгезии покрытий; метод решетчатых надрезов; режущий инструмент; клейкая лента;"
"Предколонка для хроматографа для защиты аналитической колонки включает короткую колонку с тем же сорбентом.","предколонка; хроматограф; защита аналитической колонки; короткую колонку;"
"Способ переработки нефтяных шламов в товарную продукцию с использованием трехфазной центрифуги и сушилки.","трехфазная центрифуга; сушилка;"
"Клапан электромагнитный отсечной для газа содержит корпус, золотник с уплотнением, электромагнитную катушку и возвратную пружину.","клапан; электромагнитный клапан; отсечной клапан; газ; корпус; золотник; уплотнение; электромагнитная катушка; возвратная пружина;"
"Система радиационного контроля включает сцинтилляционный детектор и блок обработки.","система радиационного контроля; сцинтилляционный детектор; блок обработки;"
"Пластинчатый охладитель масла с турбулизаторами в каналах интенсифицирует теплообмен с водяным охлаждением.","пластинчатый охладитель; масло; турбулизатор; канал; теплообмен; водяное охлаждение;"
"Ротор паровой турбины цельнокованый с дисками различного диаметра, в дисках выполнены пазы для хвостовиков лопаток.","ротор паровой турбины; цельнокованый ротор; диск; паз; хвостовик лопатки;"
"Смесительный узел для понижения температуры теплоносителя в системе теплого пола включает трехходовой клапан с сервоприводом и насос.","смесительный узел; трехходовой клапан с сервоприводом; насос;"
"Ветроэнергетическая установка с горизонтальной осью вращения и трехлопастным ветроколесом преобразует энергию ветра в электричество.","ветроэнергетическая установка; горизонтальная ось; вращение; трехлопастное ветроколесо; энергия ветра; электричество;"
"Лазерный интерферометр для измерения перемещений включает лазер и интерферометрическую головку.","лазерный интерферометр; лазер; интерферометрическая головка;"
"В аксиально-поршневом насосе поршни с шатунами, опирающимися на наклонную шайбу, совершают возвратно-поступательное движение при вращении блока цилиндров.","аксиально-поршневой насос; поршень; шатун; наклонная шайба; блок цилиндров; возвратно-поступательное движение;"
"Лампа освещения номерного знака с плафоном и рассеивателем.","лампа освещения номерного знака; плафон; рассеиватель;"
"В масляном фильтре двигателя установлен бумажный фильтрующий элемент, а также перепускной и противодренажный клапаны, обеспечивающие надежную работу системы смазки.","масляный фильтр; двигатель; бумажный фильтрующий элемент; перепускной клапан; противодренажный клапан; система смазки;"
"Воздухоприемное устройство для забора воздуха снаружи здания включает решетку и клапан.","воздухоприемное устройство; забор воздуха снаружи здания; решетку; клапан;"
"Промышленный компьютер для управления сложными технологическими процессами включает процессор, память, диски и интерфейсы в промышленном исполнении.","промышленный компьютер; управление сложными технологическими процессами; процессор; память; диски; интерфейсы;"
"Горелка атмосферная газовая для котлов с естественной тягой и запальником.","горелка атмосферная газовая; запальник;"
"Способ определения содержания ароматических углеводородов в дизельном топливе методом жидкостной адсорбционной хроматографии.","жидкостная адсорбционная хроматография;"
"Хроматограф газовый для анализа состава природного газа с детектором и колонкой.","хроматограф; газовый хроматограф; состав; природный газ; детектор; колонка;"
"Датчик частоты вращения коленчатого вала индуктивный.","датчик частоты вращения коленчатого вала; индуктивный датчик;"
"Пневмоглушитель для снижения шума при выхлопе воздуха из пневмосистемы включает корпус с пористым материалом.","пневмоглушитель; корпус с пористым материалом;"
"Насос струйный водоструйный для создания вакуума, конфузор и диффузор.","насос струйный; водоструйный насос; вакуум; конфузор; диффузор;"
"Техническая вода под давлением проходит через поры полипропиленового картриджа в патронном фильтре, который задерживает механические частицы и очищает воду.","техническая вода; давление; пора; полипропиленовый картридж; патронный фильтр; механическая частица; очистка;"
"Способ очистки газа от кислых компонентов с использованием абсорбции раствором активированного метилдиэтаноламина.","раствор активированного метилдиэтаноламина;"
"Дымовой зонт из оцинкованной или нержавеющей стали защищает дымоход от попадания атмосферных осадков и улучшает тягу.","дымовой зонт; оцинкованная сталь; нержавеющая сталь; дымоход; атмосферные осадки; тяга;"
"Термостат для поверки термометров с поддержанием стабильной температуры в рабочем объеме включает нагреватель, холодильник и терморегулятор.","термостат; поверка; термометр; температура; рабочий объем; нагреватель; холодильник; терморегулятор;"
"Способ производства масла из раувольфии включает экстракцию.","способ производства масла из раувольфии; экстракция;"
"Фильтр сетчатый для очистки воды от механических примесей включает корпус с фильтрующей сеткой.","фильтр сетчатый; корпус с фильтрующей сеткой;"
"Контроллер для управления приводами задвижек и клапанов включает микропроцессор, входы для датчиков положения и выходы для управления приводами.","контроллер для управления приводами; микропроцессор; входы для датчиков положения; выходы для управления приводами;"
"Оцинкованный кожух поверх теплоизоляции защищает ее от ультрафиолета, осадков и механических воздействий.","оцинкованный кожух; теплоизоляция; ультрафиолет; осадки; механическое воздействие;"
"Паровая турбина с регулируемым отбором пара имеет цилиндры высокого и низкого давления и сепаратор-пароперегреватель.","паровая турбина; регулируемый отбор; пар; цилиндр высокого давления; цилиндр низкого давления; сепаратор-пароперегреватель;"
"Сетка в багажник для фиксации груза.","сетка; багажник; фиксация груза;"
"Способ определения газового фактора нефти в скважине включает сепарацию газа в пробоотборнике и измерение объемов газа и нефти.","сепарация газа в пробоотборнике; измерение объемов газа и нефти;"
"Пароперегреватель котла конвективного типа, состоит из змеевиков, собранных в пакеты.","пароперегреватель; котел; конвективный тип; змеевик; пакет;"
"Способ извлечения йода из пластовых вод нефтяных месторождений с использованием метода воздушной десорбции и хемосорбции с последующей десорбцией сернистым газом, кристаллизацией йода и очисткой сточных вод.","метод воздушной десорбции; хемосорбция; десорбция сернистым газом; кристаллизация йода; очистка сточных вод;"
"Кран шаровый полнопроходной для газопровода, уплотнение шара из фторопласта.","кран шаровый; полнопроходной кран; газопровод; уплотнение шара; фторопласт;"
"Гидравлический распределитель с ручным управлением и пружинным возвратом золотника переключает потоки рабочей жидкости.","гидравлический распределитель; ручное управление; пружинный возврат; золотник; поток; рабочая жидкость;"
"Интеркулер с алюминиевой трубчато-ребристой сердцевиной охлаждает наддувочный воздух после компрессора перед подачей в двигатель.","интеркулер; алюминиевая сердцевина; трубчато-ребристая сердцевина; наддувочный воздух; компрессор; двигатель;"
"Система смазки двигателя состоит из масляного насоса, фильтра, радиатора охлаждения масла, магистралей и форсунок, подающих масло к трущимся поверхностям.","система смазки двигателя; масляный насос; фильтр; радиатор охлаждения масла; магистраль; форсунка;"
"Дисковый затвор с эксцентриковым валом обеспечивает герметичное перекрытие потока за счет прижатия диска к эластичному седлу.","дисковый затвор; эксцентриковый вал; герметичность; перекрытие потока; диск; эластичное седло;"
"Для систем ГВС и отопления выпускаются паяные пластинчатые теплообменники из нержавеющей стали, отличающиеся компактностью и эффективностью.","система ГВС; отопление; паяный пластинчатый теплообменник; нержавеющая сталь;"
"Кольцевая камера сгорания газотурбинной установки образована наружным и внутренним корпусами, внутри которых размещены жаровые трубы с отверстиями.","кольцевая камера сгорания; газотурбинная установка; наружный корпус; внутренний корпус; жаровая труба; отверстие;"
"Шаровой кран для газопровода имеет плавающий шар, прижимаемый давлением среды к уплотнениям седла из фторопласта.","шаровой кран; газопровод; плавающий шар; давление; среда; уплотнение; седло; фторопласт;"
"Форсунка механическая центробежная для распыла мазута, камера закручивания.","форсунка; механическая форсунка; центробежная форсунка; мазут; камера закручивания;"
"Пароперегреватель для повышения температуры пара включает змеевики из жаропрочных труб.","пароперегреватель; змеевики из жаропрочных труб;"
"Гигрометр для измерения влажности в инкубаторах и термостатах включает электронный датчик влажности.","гигрометр; электронный датчик влажности;"
"Прибор для испытания на истираемость для оценки износостойкости материалов имеет абразивный круг и держатель образца.","прибор для испытания на истираемость; оценка износостойкости; материалы; абразивный круг; держатель образца;"
"Рукав пожарный напорный из синтетических нитей с внутренним гидроизоляционным покрытием транспортирует воду или пену к месту пожара.","рукав пожарный; напорный рукав; синтетическая нить; гидроизоляционное покрытие; вода; пена; пожар;"
"Робот промышленный для выполнения технологических операций имеет манипулятор с несколькими степенями подвижности и систему управления.","робот промышленный; манипулятор; система управления;"
"Глушитель шума впуска резонаторного типа, камера.","глушитель шума впуска; резонаторный тип; камера;"
"Цепная механическая колосниковая решетка непрерывно подает твердое топливо в топку котла.","цепная решетка; механическая решетка; колосниковая решетка; твердое топливо; топка; котел;"
"Имитатор термопары для проверки вторичных приборов и систем измерения температуры генерирует напряжение, соответствующее заданной температуре.","имитатор; термопара; проверка; вторичный прибор; измерение температуры; напряжение; температура;"
"Счетчик газа ротационный с роторами в виде восьмерки для измерения объема газа в промышленных установках.","счетчик газа; ротационный счетчик; ротор; объем газа; промышленная установка;"
"Увлажнитель воздуха для систем вентиляции включает паровой или адиабатический увлажнитель.","увлажнитель воздуха; системы вентиляции; паровой увлажнитель; адиабатический увлажнитель;"
"Тройник топливной магистрали, штуцеры.","тройник; топливная магистраль; штуцер;"
"Устройство для крепления лайнера к инжектору включает графитовое кольцо.","устройство для крепления лайнера к инжектору; графитовое кольцо;"
"Устройство для поштучной выдачи деталей включает шиберный механизм и пневмоцилиндр.","устройство для поштучной выдачи деталей; шиберный механизм; пневмоцилиндр;"
"Роторный насос внутреннего зацепления с ведущей и ведомой шестернями и серпообразным уплотнением между ними применяется для перекачивания вязких жидкостей в гидросистемах.","роторный насос; внутреннее зацепление; ведущая шестерня; ведомая шестерня; серпообразное уплотнение; вязкая жидкость; гидросистема;"
"Акустическая камера для испытаний на шум и вибрацию имеет звукоизолированные стены и звукопоглощающие панели.","акустическая камера; звукоизолированные стены; звукопоглощающие панели;"
"Счетчик газа ротационный с роторами в виде восьмерки содержит корпус, два ротора, счетный механизм и магнитную муфту.","счетчик газа; ротационный счетчик; ротор; корпус; счетный механизм; магнитная муфта;"
"Головка блока цилиндров дизельного двигателя из алюминиевого сплава. В ней размещены впускные и выпускные клапаны.","головка блока цилиндров; дизельный двигатель; алюминиевый сплав; впускной клапан; выпускной клапан;"
"Жгут проводов с изоляцией, наконечниками и разъемами.","жгут проводов; изоляция; наконечник; разъем;"
"Вакуум-фильтр барабанный для непрерывного разделения суспензий включает вращающийся барабан с фильтровальной тканью и распределительную головку.","вакуум-фильтр барабанный; вращающийся барабан с фильтровальной тканью; распределительная головка;"
"В гидротрансформаторе насосное колесо приводит в движение жидкость, которая вращает турбинное колесо через реактор.","гидротрансформатор; насосное колесо; жидкость; турбинное колесо; реактор;"
"Смесительная головка камеры сгорания ЖРД содержит огневое днище и газовые форсунки, между форсунками размещены жидкостные пояса.","смесительная головка; камера сгорания ЖРД; огневое днище; газовая форсунка; жидкостный пояс;"
"Тормозной диск вентилируемый для автомобиля, внутренние каналы для охлаждения.","тормозной диск; вентилируемый диск; автомобиль; канал; охлаждение;"
"Флюгер Вильда для определения направления и скорости ветра включает металлическую флюгарку и доску, отклоняемую ветром.","флюгер; флюгер Вильда; направление ветра; скорость ветра; флюгарка; доска;"
"Ирригатор для подачи жидкости при эндоскопических операциях включает емкость с жидкостью и насос.","ирригатор; подача жидкости; эндоскопические операции; емкость с жидкостью; насос;"
"Паровая турбина содержит ротор с лопатками, статор, корпус, подшипники и систему подачи пара, которая направляет рабочее тело на лопатки для преобразования энергии.","паровая турбина; ротор; лопатка; статор; корпус; подшипник; система подачи пара; рабочее тело;"
"Сажевый фильтр для дизеля с регенерацией, пористая матрица.","сажевый фильтр; дизель; регенерация; пористая матрица;"
"Регулятор температуры для систем отопления включает термостатический элемент и регулирующий клапан.","регулятор температуры; системы отопления; термостатический элемент; регулирующий клапан;"
"Вихревой теплогенератор, состоящий из цилиндрического корпуса с тангенциальным вводом и вихревой трубы с тормозным органом, преобразует энергию потока в тепло.","цилиндрический корпус с тангенциальным вводом; вихревая труба с тормозным органом;"
"Валковая дробилка содержит два параллельных валка с зубьями, вращающихся навстречу друг другу, станину с подшипниками и пружинное предохранительное устройство.","валковая дробилка; параллельный валок; зуб; станина; подшипник; пружинное предохранительное устройство;"
"Полевая лаборатория для экспресс-анализа почвы содержит набор реактивов и приборы для определения pH и нитратов.","полевая лаборатория; набор реактивов; приборы для определения pH; приборы для определения нитратов;"
"Токарный станок с ЧПУ оснащен шпинделем с патроном, суппортом с резцедержателем, задней бабкой и системой охлаждения зоны резания.","токарный станок с ЧПУ; шпиндель с патроном; суппорт с резцедержателем; задняя бабка; система охлаждения зоны резания;"
"Медиастиноскоп для осмотра средостения включает жесткий эндоскоп с осветителем и каналом для инструментов.","медиастиноскоп; жесткий эндоскоп; осветитель; канал для инструментов;"
"Гашение колебаний в уравновешивающем механизме вагона осуществляется гидравлическим демпфером, работающим совместно с пружинным аккумулятором.","гашение колебаний; уравновешивающий механизм; вагон; гидравлический демпфер; пружинный аккумулятор;"
"Флюгер для определения направления ветра.","флюгер; направление ветра;"
"Вентиляторная установка для подачи или удаления воздуха в системах вентиляции включает вентилятор, электродвигатель и раму.","вентиляторная установка; вентилятор; электродвигатель; рама;"
"Система автоматического управления клапаном включает электропневматический позиционер.","система автоматического управления клапаном; электропневматический позиционер;"
"Поплавковый выключатель дренажного насоса автоматически включает и выключает насос в зависимости от уровня воды в приямке.","поплавковый выключатель; дренажный насос; уровень; вода; приямок;"
"Частотомер для измерения частоты электрических колебаний имеет входной формирователь и счетчик импульсов.","частотомер; измерение частоты; электрические колебания; входной формирователь; счетчик импульсов;"
"Поворотное устройство для изменения направления воздуховода включает отвод с радиусом изгиба.","поворотное устройство; изменение направления воздуховода; отвод с радиусом изгиба;"
"Полиспаст для подъема груза, блоки и канат.","полиспаст; груз; блок; канат;"
"Машина для литья под давлением включает узел запирания, узел впрыска и нагревательный цилиндр.","машина для литья под давлением; узел запирания; узел впрыска; нагревательный цилиндр;"
"Датчик детонации пьезоэлектрический резонансный.","датчик детонации; пьезоэлектрический датчик; резонансный датчик;"
"Композиция тампонажного материала для ремонтно-изоляционных работ содержит цемент, полимерную добавку и наполнитель.","цемент; полимерная добавка; наполнитель;"
"Коагулометр для определения показателей свертываемости крови включает оптический или механический детектор сгустка.","коагулометр; оптический детектор сгустка; механический детектор сгустка;"
"Манометр показывающий с трубчатой пружиной для визуального контроля давления в трубопроводах.","манометр; показывающий манометр; трубчатая пружина; контроль давления; трубопровод;"
"Упаковочная машина для цемента включает бункер с дозатором, упаковочный патрубок с зажимом, весы и транспортер.","упаковочная машина; цемент; бункер; дозатор; упаковочный патрубок; зажим; весы; транспортер;"
"Гребенка распределительная системы отопления изготавливается из латуни или нержавеющей стали и содержит отводы с запорными вентилями.","гребенка распределительная; система отопления; латунь; нержавеющая сталь; отвод; запорный вентиль;"
"Воздухоохладитель надувочного воздуха типа «воздух-воздух» с алюминиевой сердцевиной трубчато-ребристой конструкции размещается перед основным радиатором системы охлаждения.","воздухоохладитель; надувочный воздух; воздух-воздух; алюминиевая сердцевина; трубчато-ребристая конструкция; радиатор; система охлаждения;"
"Газовая турбина содержит компрессор низкого давления, компрессор высокого давления, камеру сгорания кольцевого типа, турбину высокого давления и турбину низкого давления, установленные на соосных валах.","газовая турбина; компрессор низкого давления; компрессор высокого давления; камера сгорания кольцевого типа; турбина высокого давления; турбина низкого давления; соосный вал;"
"Система автоматического управления вентилятором охлаждения включает терморегулятор.","система автоматического управления вентилятором охлаждения; терморегулятор;"
"Причал для отгрузки СПГ включает грузовые манифольды, криогенные трубопроводы, системы возврата паров и отбойные устройства.","причал; отгрузка СПГ; грузовой манифольд; криогенный трубопровод; система возврата паров; отбойное устройство;"
"Способ производства конопляного масла включает прессование семян конопли.","способ производства конопляного масла; прессование семян конопли;"
"Генератор водорода для газовой хроматографии производит водород электролизом воды с твердополимерным электролитом.","генератор водорода; газовая хроматография; водород; электролиз; вода; твердополимерный электролит;"
"Микротвердомер для измерения твердости микроскопических участков материалов содержит микроскоп и алмазный индентор под малой нагрузкой.","микротвердомер; твердость; микроскопический участок; материал; микроскоп; алмазный индентор; нагрузка;"
"Фитокамера для выращивания растений при искусственном освещении включает герметичный корпус, светильники и систему климат-контроля.","фитокамера; герметичный корпус; светильники; система климат-контроля;"
"Силовой конденсатор с полипропиленовой пленкой и самовосстанавливающимся покрытием повышает коэффициент мощности.","силовой конденсатор; полипропиленовая пленка; самовосстанавливающееся покрытие; коэффициент мощности;"
"Система кругового обзора с несколькими камерами и блоком обработки.","система кругового обзора; камера; блок обработки;"
"Хлорометр для измерения остаточного хлора в питьевой воде после обеззараживания.","хлорометр;"
"Установка для производства водорода методом электролиза воды с щелочным электролитом имеет биполярную конструкцию электролизера.","биполярная конструкция электролизера;"
"Стенд для гидравлических испытаний трубопроводов и емкостей на прочность и плотность включает насос высокого давления и манометры.","стенд для гидравлических испытаний; трубопроводы; емкости; прочность; плотность; насос высокого давления; манометры;"
"Армирующая сетка для стяжки теплого пола включает сварную сетку из проволоки.","армирующая сетка; стяжка теплого пола; сварная сетка из проволоки;"
"Дымосос двухстороннего всасывания регулирует производительность осевым направляющим аппаратом.","дымосос; двухстороннее всасывание; производительность; осевой направляющий аппарат;"
"Электромиограф для регистрации электрической активности мышц включает игольчатые или поверхностные электроды и усилитель.","электромиограф; регистрация электрической активности мышц; игольчатые электроды; поверхностные электроды; усилитель;"
"SCADA-система для мониторинга и управления технологическими процессами включает серверы ввода-вывода, серверы истории и клиентские приложения.","SCADA-система; серверы ввода-вывода; серверы истории; клиентские приложения;"
"Направляющая опора ограничивает поперечные перемещения трубы, позволяя продольные.","направляющая опора; поперечное перемещение; труба; продольное перемещение;"
"Горелка мазутная для котлов включает мазутную форсунку и устройство для подвода воздуха.","горелка мазутная; мазутная форсунка; устройство для подвода воздуха;"
"Вакуумный вентиль для регулирования расхода воздуха в вакуумной системе включает корпус с игольчатым затвором.","вакуумный вентиль; корпус с игольчатым затвором;"
"Мембранный фильтр-пресс для разделения суспензий с отжимом осадка содержит плиты с эластичными мембранами.","мембранный фильтр-пресс; разделение суспензий; отжим осадка; плиты с эластичными мембранами;"
"Система автоматического управления охлаждением компрессора включает термостат и вентилятор.","система автоматического управления охлаждением компрессора; термостат; вентилятор;"
"Септа для инжектора газового хроматографа включает эластичную прокладку из силикона или фторкаучука.","септа; инжектор; газовый хроматограф; эластичную прокладку из силикона; эластичную прокладку из фторкаучука;"
"Устройство для измерения уровня нефти в резервуаре с использованием радарного уровнемера с параболической антенной и системой температурной компенсации, самодиагностикой и защитой от ложных эхо-сигналов, с интерфейсом RS-485 и взрывозащищенным исполнением, с дисплеем и клавиатурой, с поверкой и калибровкой, с ПО и диагностикой.","радарный уровнемер с параболической антенной; система температурной компенсации; самодиагностика; защита от ложных эхо-сигналов; интерфейс RS-485; взрывозащищенное исполнение; дисплей; клавиатура; поверка; калибровка; ПО; диагностика;"
"Соединительная муфта для бронированного кабеля содержит эпоксидный корпус, набор гильз и заливочные компаунды.","соединительная муфта; бронированный кабель; эпоксидный корпус; гильза; компаунд;"
"Датчик качества воздуха для управления вентиляцией по уровню CO2 или VOC включает оптический или электрохимический сенсор.","датчик качества воздуха; оптический сенсор; электрохимический сенсор;"
"Радиометр для измерения плотности потока частиц включает газоразрядный счетчик.","радиометр; газоразрядный счетчик;"
"Автоматизация пробоподготовки включает роботизированные системы для выполнения рутинных операций.","автоматизация пробоподготовки; роботизированные системы; рутинные операции;"
"Дренажный насос для откачки воды включает корпус из нержавеющей стали, рабочее колесо открытого типа и поплавковый выключатель.","дренажный насос; откачка воды; корпус; нержавеющая сталь; рабочее колесо; открытый тип; поплавковый выключатель;"
"Штангенциркуль для измерения наружных и внутренних размеров деталей.","штангенциркуль; наружный размер; внутренний размер; деталь;"
